Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,iso_alpha,text
"
North America
",11967725,7395.0,362361.0,570.0,7823233.0,5535.0,3782131.0,21991.0,0.0,0.0,0.0,0.0,0.0,North America,North America<br>Active Cases 3782131<br>Total Deaths 362361
"
Asia
",14245057,9068.0,252439.0,69.0,12714098.0,6918.0,1278520.0,22853.0,0.0,0.0,0.0,0.0,0.0,Asia,Asia<br>Active Cases 1278520<br>Total Deaths 252439
"
South America
",9924296,142.0,301020.0,13.0,8879872.0,513.0,743404.0,17774.0,0.0,0.0,0.0,0.0,0.0,South America,South America<br>Active Cases 743404<br>Total Deaths 301020
"
Europe
",11641137,19449.0,287675.0,375.0,4257469.0,9311.0,7095993.0,25828.0,0.0,0.0,0.0,0.0,0.0,Europe,Europe<br>Active Cases 7095993<br>Total Deaths 287675
"
Africa
",1866079,0.0,44540.0,0.0,1560777.0,0.0,260762.0,2423.0,0.0,0.0,0.0,0.0,0.0,Africa,Africa<br>Active Cases 260762<br>Total Deaths 44540
"
Oceania
",40296,7.0,980.0,0.0,32829.0,10.0,6487.0,26.0,0.0,0.0,0.0,0.0,0.0,Oceania,Oceania<br>Active Cases 6487<br>Total Deaths 980
"

",721,0.0,15.0,0.0,659.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,,<br>Active Cases 47<br>Total Deaths 15
Philippines,391809,0.0,7461.0,0.0,349974.0,0.0,34374.0,1483.0,3559.0,68.0,4972090.0,45164.0,110089373.0,PHL,Philippines<br>Active Cases 34374<br>Total Deaths 7461
Turkey,389256,0.0,10722.0,0.0,334293.0,0.0,44241.0,2654.0,4598.0,127.0,14846192.0,175370.0,84656326.0,TUR,Turkey<br>Active Cases 44241<br>Total Deaths 10722
Saudi Arabia,349822,0.0,5506.0,0.0,336533.0,0.0,7783.0,736.0,9994.0,157.0,8395130.0,239845.0,35002296.0,SAU,Saudi Arabia<br>Active Cases 7783<br>Total Deaths 5506
Pakistan,341753,1502.0,6943.0,20.0,317898.0,812.0,16912.0,890.0,1537.0,31.0,4643913.0,20883.0,222375774.0,PAK,Pakistan<br>Active Cases 16912<br>Total Deaths 6943
Israel,318402,0.0,2644.0,0.0,306890.0,0.0,8868.0,324.0,34618.0,287.0,4794817.0,521312.0,9197590.0,ISR,Israel<br>Active Cases 8868<br>Total Deaths 2644
Romania,287062,0.0,7663.0,0.0,195971.0,0.0,83428.0,1001.0,14957.0,399.0,3418245.0,178108.0,19191941.0,ROU,Romania<br>Active Cases 83428<br>Total Deaths 7663
Canada,255809,0.0,10436.0,0.0,211237.0,0.0,34136.0,238.0,6757.0,276.0,9826986.0,259574.0,37858112.0,CAN,Canada<br>Active Cases 34136<br>Total Deaths 10436
Morocco,246349,0.0,4127.0,0.0,200954.0,0.0,41268.0,884.0,6647.0,111.0,3451451.0,93123.0,37063300.0,MAR,Morocco<br>Active Cases 41268<br>Total Deaths 4127
Switzerland,211913,0.0,2712.0,0.0,87300.0,0.0,121901.0,426.0,24423.0,313.0,2157721.0,248676.0,8676838.0,CHE,Switzerland<br>Active Cases 121901<br>Total Deaths 2712
Nepal,188883,0.0,1070.0,0.0,152908.0,0.0,34905.0,0.0,6442.0,36.0,1517343.0,51754.0,29318386.0,NPL,Nepal<br>Active Cases 34905<br>Total Deaths 1070
